전용면적,층,연도1,건축년도1,지역코드_2자리_11,지역코드_2자리_26,지역코드_2자리_27,지역코드_2자리_28,지역코드_2자리_41,지역코드_2자리_43,지역코드_2자리_44,지역코드_2자리_45,지역코드_2자리_46,지역코드_2자리_47,법정동1_기타동,거래금액1
52.14,4,57,55,0,1,0,0,0,0,0,0,0,0,0,10.043292972227004
119.874,5,60,41,0,0,0,0,1,0,0,0,0,0,1,10.404293143019792
68.02,5,60,31,0,0,0,0,1,0,0,0,0,0,0,9.798182590890704
80.881,2,59,55,0,0,0,0,0,0,0,0,0,1,1,9.44943601
84.9959,24,59,44,0,0,0,0,1,0,0,0,0,0,0,10.712215345197256
49.94,10,60,30,0,0,0,0,1,0,0,0,0,0,0,10.57134257
59.78,11,56,31,0,0,0,0,0,0,0,0,0,0,0,8.987321812850125
59.34,16,57,36,0,0,0,1,0,0,0,0,0,0,0,9.809231816610408
71.64,14,55,28,1,0,0,0,0,0,0,0,0,0,0,10.950824090522444
47.382,9,57,42,0,0,0,0,0,0,0,0,0,0,0,9.159152335
39.99,11,58,37,0,0,0,0,1,0,0,0,0,0,0,9.741027444837728
84.99,5,60,58,0,0,0,0,1,0,0,0,0,0,1,10.725489582719506
59.73,5,56,35,0,0,0,0,0,0,0,0,1,0,1,9.148571345578551
119.88,12,56,42,0,0,0,0,0,0,0,0,0,0,1,10.165890277802454
84.9811,18,59,56,0,0,0,0,0,0,0,0,1,0,1,10.295563423525277
64.32,9,60,56,0,0,0,0,0,0,0,0,0,0,1,9.821789308551622
120.97,5,60,44,1,0,0,0,0,0,0,0,0,0,1,11.80560254159177
130.945,2,60,32,0,0,0,0,1,0,0,0,0,0,0,10.373522431293592
84.73,11,56,41,0,0,0,0,1,0,0,0,0,0,0,10.173552856959745
129.155,14,55,35,0,0,0,0,0,0,0,0,0,1,1,9.908524844053396
43.92,19,57,37,1,0,0,0,0,0,0,0,0,0,1,10.413342705547674
84.9876,6,55,46,1,0,0,0,0,0,0,0,0,0,1,11.732069026983156
49.62,10,62,38,0,0,0,0,0,0,0,0,0,0,1,9.539716058977092
59.854,3,58,38,0,0,0,0,1,0,0,0,0,0,1,9.44943601
44.88,12,59,44,1,0,0,0,0,0,0,0,0,0,1,10.712215345197256
59.976,14,62,54,0,0,0,0,1,0,0,0,0,0,1,10.077482875583607
51.02,1,60,29,0,0,0,0,0,0,0,0,0,0,0,8.987321812850125
59.884,11,60,37,0,0,0,0,0,0,1,0,0,0,1,9.047939083
84.98,13,58,46,1,0,0,0,0,0,0,0,0,0,0,11.918397239722838
79.0967,21,59,43,0,0,0,0,1,0,0,0,0,0,0,10.318935994253192
62.55,2,62,22,0,0,0,0,0,0,0,0,0,0,1,8.94910547
84.773,16,57,53,0,0,0,0,0,0,0,0,1,0,1,10.477316144080852
84.94,13,59,35,1,0,0,0,0,0,0,0,0,0,1,10.650199196425806
84.9927,2,58,56,0,0,1,0,0,0,0,0,0,0,1,10.379752786950895
73.3245,3,58,54,0,0,0,0,0,0,0,0,1,0,0,10.054103420843257
59.05,5,59,48,0,0,0,0,1,0,0,0,0,0,0,9.989711119284744
