지역코드,월,전용면적,층,거래금액,거래금액_B,법정동1,아파트1,거래금액1,연도1,건축년도1
41465,11,106.52,3,46000,1,상현동,ㅅ,10.73641841,59,42
28237,8,59.9886,8,23800,0,기타동,ㅁ,10.07748288,56,46
41390,4,142.6106,8,51000,1,기타동,ㅇ,10.83960052,60,48
11590,5,66.69,6,46700,1,기타동,ㅇ,10.75152086,57,28
45113,5,84.9839,10,53800,1,송천동2가,ㅇ,10.89304733,62,57
41281,12,49.95,16,20100,0,화정동,ㄷ,9.908524844,57,36
27290,4,84.48,22,36000,1,상인동,ㅅ,10.49130199,56,47
41480,5,71.28,10,18000,0,기타동,ㅎ,9.798182591,62,32
45140,10,59.904,15,18700,0,기타동,ㅇ,9.836332277,56,52
42110,2,80.6164,1,11240,0,후평동,ㅊ,9.327323087,56,44
41135,1,58.14,2,51700,1,기타동,ㅁ,10.8532324,60,35
26350,6,59.794,13,13500,0,반여동,ㅂ,9.510519036,55,35
41210,6,60.21,15,45500,1,철산동,ㅈ,10.72548958,58,26
29155,12,84.63,4,14500,0,기타동,ㄷ,9.581972892,57,31
44133,4,84.9988,7,27200,1,기타동,ㅊ,10.21100902,60,58
45140,1,39.952,5,6400,0,기타동,ㅂ,8.764209507,59,38
47113,2,59.3,3,12500,0,기타동,ㄷ,9.43356392,55,24
42150,7,59.74,14,18600,0,교동,ㄱ,9.830970622,57,42
42150,3,59.89,2,23900,0,교동,ㄱ,10.08167558,62,39
48123,4,79.69,1,24500,1,기타동,ㅅ,10.10646921,55,32
30170,8,59.9,3,18300,0,기타동,ㄱ,9.814710982,56,35
43150,7,84.9846,13,22000,0,기타동,ㅈ,9.998843186,57,48
41590,3,101.4,11,77200,1,청계동,ㄷ,11.25416769,58,55
29155,5,84.64,7,26125,1,기타동,ㅅ,10.17068627,59,47
47113,11,84.8944,2,21700,0,양덕동,ㅍ,9.985113621,60,48
48330,1,59.54,22,6300,0,기타동,ㅅ,8.74846363,59,37
50110,8,84.78,13,28000,1,기타동,ㅅ,10.2399955,60,44
31140,6,84.99,17,30000,1,삼산동,ㅅ,10.30898599,56,37
48123,4,47.97,20,15350,0,대방동,ㅅ,9.638935897,62,32
11530,4,84.96,10,59500,1,기타동,ㅅ,10.9937484,63,41
29200,4,84.7886,1,20000,0,기타동,ㅅ,9.903537551,59,45
47290,10,59.96,2,10400,0,기타동,ㅇ,9.249657234,59,35
26380,10,59.9942,6,13500,0,장림동,ㄷ,9.510519036,55,45
47210,7,84.6661,9,26500,1,기타동,ㄱ,10.18493775,59,51
47190,12,45.8895,9,7900,0,기타동,ㅂ,8.974744613,62,41
31110,9,59.93,17,19500,0,기타동,ㄷ,9.878221025,56,39
41173,3,116.507,7,60000,1,호계동,ㄷ,11.00211651,60,43
41590,1,84.927,8,51000,1,반월동,ㅂ,10.83960052,61,47
28237,7,48.48,1,13750,0,부개동,ㄷ,9.528866828,55,28
41463,4,84.98,7,41000,1,기타동,ㅎ,10.62135174,63,48
11740,8,102.34,15,110000,1,기타동,ㄹ,11.60824474,58,48
44200,12,84.65,10,24900,1,기타동,ㅇ,10.12266324,59,49
30170,6,49.59,22,10000,0,관저동,ㅇ,9.210440367,56,37
41173,12,59.94,7,62000,1,평촌동,ㅊ,11.03490579,62,33
28260,8,84.9,14,18000,0,마전동,ㄷ,9.798182591,55,39
11290,4,84.96,4,38500,1,기타동,ㄱ,10.55843949,56,40
41650,10,59.4,4,10800,0,기타동,ㅇ,9.287394001,59,33
28237,4,84.34,21,29000,1,기타동,ㅊ,10.27508559,58,38
43114,7,84.98,4,10000,0,기타동,ㅅ,9.210440367,62,29
28200,4,84.93,11,25400,1,만수동,ㅂ,10.14254382,60,40
45113,2,84.9525,12,39000,1,기타동,ㄱ,10.57134257,60,58
41287,1,84.786,21,50000,1,일산동,ㅎ,10.81979828,60,35
48310,10,59.31,2,10000,0,고현동,ㄷ,9.210440367,60,38
30140,12,89.95,5,7200,0,기타동,ㄱ,8.881975184,55,18
41150,2,84.9964,13,20000,0,용현동,ㅅ,9.903537551,60,41
42210,1,51.66,12,10500,0,교동,ㅈ,9.25922577,58,33
11740,12,84.91,19,57000,1,기타동,ㅇ,10.95082409,57,36
31710,12,84.7195,11,29000,1,기타동,ㅅ,10.27508559,55,50
27290,10,69.9551,21,27194,1,기타동,ㅇ,10.21078841,56,56
11470,10,142.51,3,168000,1,목동,ㅁ,12.03172521,56,26
41630,7,84.99,4,23000,0,덕계동,ㅎ,10.04329297,55,47
41370,1,59.867,10,13000,0,원동,ㄷ,9.472781557,60,40
41210,7,45.77,2,21000,0,하안동,ㅈ,9.952325335,58,30
28200,9,85.44,5,17800,0,구월동,ㅅ,9.787009914,58,20
31710,7,118.63,14,37450,1,기타동,ㅁ,10.53078869,60,54
11290,4,84.39,9,32200,1,기타동,ㄷ,10.37975279,55,31
44200,3,59.8,4,13950,0,기타동,ㅇ,9.543306469,63,38
41590,2,76.5336,23,39900,1,능동,ㅍ,10.59415667,60,48
41287,6,70.558,3,24950,1,탄현동,ㅌ,10.12466918,57,40
41273,11,59.97,2,25000,1,초지동,ㄱ,10.1266711,56,42
41480,5,118.7267,19,45500,1,야당동,ㅎ,10.72548958,59,52
26350,9,59.985,9,26200,1,좌동,ㅋ,10.17355286,55,37
43113,9,60,7,14000,0,복대동,ㅎ,9.546884035,59,39
48330,12,59.9914,21,29500,1,물금읍 가촌리,ㅇ,10.29217944,62,57
43112,5,59.76,1,13100,0,기타동,ㄷ,9.480443842,62,35
43114,8,84.9673,10,21200,0,기타동,ㅇ,9.961803629,56,46
