기준_년분기_코드,상권_구분_코드,상권_코드,서비스_업종_코드,당월_매출_금액,당월_매출_건수,주말_매출_금액,월요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,주중_매출_건수,월요일_매출_건수,일요일_매출_건수,시간대_건수~11_매출_건수,시간대_건수~21_매출_건수
20224,D,3120164,CS200019,16993969.0,3081,6724140.0,2038420.0,3238154.0,1626117.0,1515720.0,6365909.0,2412422.0,2078411,6728646,5013534.0,1808,445,647,62,1127
20224,D,3120219,CS200019,1280856234.0,252533,482241460.0,158542738.0,223053106.0,51483318.0,247702171.0,434669584.0,438433120.0,368429804,370622789,141931604.0,156358,30403,45447,15152,85475
20224,D,3120054,CS200024,267421770.0,1543,34147603.0,58948168.0,12461498.0,4292498.0,47542406.0,111694026.0,114836241.0,729481,82217004,38153298.0,1198,341,206,153,585
20224,D,3120170,CS200024,104000000.0,67,0.0,0.0,0.0,0.0,0.0,0.0,54055573.0,0,0,0.0,67,0,0,0,0
20224,R,3130241,CS200024,38843253.0,76,2115057.0,0.0,0.0,0.0,11574061.0,19866493.0,30351065.0,0,11397806,14805398.0,70,0,0,0,41
20224,D,3120153,CS200024,13554639.0,83,1189570.0,6340367.0,0.0,0.0,11380219.0,417126.0,2946864.0,0,7406975,3113484.0,75,30,0,0,3
20224,D,3120134,CS200024,191500595.0,982,14952697.0,35776446.0,9395898.0,0.0,13704397.0,90040725.0,87544904.0,0,54287962,52655643.0,862,180,64,142,452
20224,D,3120127,CS200024,127029731.0,598,14496840.0,16613700.0,11270782.0,0.0,30569592.0,54195418.0,51592084.0,0,51951028,21275644.0,524,82,52,46,235
20224,D,3120188,CS200024,681000000.0,1385,59538614.0,103625720.0,14680793.0,0.0,64864293.0,305925520.0,300779020.0,0,86258644,77353124.0,1232,223,45,200,538
20224,D,3120202,CS200024,416790082.0,324,63586024.0,183262791.0,31553887.0,0.0,130845249.0,50127653.0,160360362.0,0,1104386,71201346.0,240,85,28,143,43
20224,A,3111013,CS200024,93846123.0,447,1945849.0,22738926.0,0.0,0.0,8552674.0,61433395.0,44884612.0,2983636,41057776,13611914.0,369,86,0,39,174
20224,A,3111003,CS200024,6749531.0,28,0.0,0.0,0.0,0.0,0.0,0.0,6749531.0,0,6749531,0.0,28,0,0,28,0
20224,A,3110136,CS200025,702821245.0,2774,30498660.0,56106999.0,1583354.0,0.0,168476138.0,202990826.0,75496717.0,12804562,54597591,84943990.0,2598,266,53,473,683
20224,A,3110297,CS200025,165370470.0,382,10815057.0,5661328.0,0.0,0.0,14229918.0,53977952.0,108300013.0,0,2172370,97584783.0,305,42,0,83,66
20224,A,3110404,CS200025,87469613.0,908,8651992.0,19457531.0,1021956.0,0.0,21112646.0,31695276.0,22549141.0,0,10002871,3664776.0,766,194,14,96,251
20224,R,3130231,CS200025,5087863.0,32,3282492.0,0.0,0.0,0.0,0.0,0.0,5087863.0,0,0,0.0,16,0,0,0,0
20224,D,3120173,CS200025,136116582.0,2987,26638860.0,11675227.0,8708323.0,0.0,44836688.0,34066367.0,36610650.0,0,1468213,10636484.0,1343,110,890,501,216
20224,A,3110902,CS200025,31677452.0,260,0.0,0.0,0.0,0.0,7262298.0,15043332.0,13988569.0,0,0,0.0,260,0,0,17,122
20224,A,3110823,CS200025,26890504.0,248,3322307.0,5965470.0,0.0,0.0,6323399.0,7984553.0,11747387.0,0,0,7158564.0,192,46,0,65,27
20224,A,3110812,CS200025,139973794.0,923,11914238.0,4640067.0,0.0,0.0,37503731.0,37284521.0,36982259.0,0,2340426,10285590.0,831,130,0,173,224
20224,A,3110710,CS200025,59918044.0,260,19891628.0,13122932.0,6731372.0,0.0,19749952.0,18786580.0,17020224.0,0,58129,14655500.0,158,43,35,10,90
20224,A,3110738,CS200025,966000000.0,2405,118861146.0,262531041.0,35329848.0,0.0,249793826.0,19354094.0,184054427.0,2312369,789763,145734088.0,2026,445,93,767,299
20224,A,3110777,CS200025,136161211.0,263,9611436.0,29078368.0,0.0,0.0,57296558.0,16153413.0,29245517.0,0,17059116,7857724.0,223,32,0,32,40
20224,A,3110759,CS200025,382983756.0,2523,125228921.0,56491230.0,0.0,0.0,102501162.0,70653873.0,69710120.0,0,3015882,60859477.0,1910,439,0,527,340
20224,D,3120139,CS200025,1543090024.0,10420,260948470.0,315338827.0,2017781.0,0.0,468601443.0,254348025.0,137147468.0,0,11351718,147394599.0,9001,1934,10,2051,1296
20224,A,3110449,CS200025,9074135.0,77,2502060.0,0.0,1056425.0,0.0,5448929.0,444811.0,4348022.0,0,0,0.0,55,0,11,0,11
20224,A,3110673,CS200025,398257449.0,2636,81593800.0,51243297.0,3444926.0,0.0,139996856.0,84237721.0,92716276.0,0,13632872,68156344.0,2066,503,32,661,448
20224,A,3110657,CS200025,3805759052.0,44128,628244243.0,652509418.0,0.0,0.0,1202252498.0,543986228.0,764205852.0,0,311145223,974344601.0,36853,8430,0,9441,3801
20224,A,3110501,CS200025,50319672.0,454,9836715.0,7646105.0,0.0,0.0,16528259.0,3837415.0,8104797.0,0,2312947,4613854.0,382,78,0,62,51
20224,D,3120104,CS200025,136025688.0,471,85517078.0,12997418.0,0.0,0.0,20144704.0,86809920.0,5145494.0,0,0,7544885.0,356,52,0,71,81
20224,A,3110474,CS200025,607481295.0,4881,144623335.0,98841936.0,27434941.0,3146137.0,170679850.0,188499879.0,198571777.0,0,51136004,49506181.0,3608,688,231,906,1281
20224,A,3111049,CS200025,713439214.0,5549,114945849.0,117252432.0,10444727.0,0.0,217304465.0,113774693.0,168512243.0,0,10056335,124333218.0,4597,930,68,1086,610
